Time,Bandwidth
187.269999981,2.6670843374
187.870000124,3.0331294118
188.620000124,2.2996474164
189.25999999,2.26825878
189.920000076,2.7355384615
190.529999971,2.7416170213
191.190000057,2.665591623
191.819999933,2.3182056075
192.579999924,2.1906784661
193.289999962,2.1394935065
194.069999933,2.1048914956
194.539999962,2.7932519894
195.190000057,2.8180992908
195.579999924,3.084548495
196.059999943,3.0682694301
196.680000067,2.7416647834
197.339999914,2.7876111111
197.920000076,2.9184887064
198.519999981,2.7899802761
198.920000076,2.7895286624
199.75999999,2.1618191489
200.450000048,2.6289282137
200.960000038,3.1137156627
201.549999952,2.4072380952
202.279999971,2.3288165869
202.960000038,2.3550800681
203.870000124,2.0475254237
204.75,1.7476844784
205.50999999,2.0341190476
206.230000019,2.2880384
206.970000029,2.156202765
207.880000114,1.7955620438
208.569999933,2.0897732657
209.410000086,2.2037917223
210.140000105,2.1915264798
210.860000134,2.2689396825
211.569999933,2.2468220065
212.289999962,2.2143744
213.110000134,2.0878567493
216.019999981,0.4935342857
216.850000143,1.8031049724
217.789999962,1.7158679245
218.660000086,1.9092410256
219.410000086,1.994306525
220.210000038,1.9220782123
221.309999943,1.3785737052
222.880000114,0.8867012278
224.860000134,0.8568195329
227.059999943,0.6708620199
228.24000001,1.0108682028
228.650000095,1.452611465
230.120000124,1.3646846322
231.380000114,1.1855257732
232.529999971,1.3943667297
232.920000076,1.673945946
233.220000029,1.6483047619
233.680000067,1.7979063361
236.630000114,1.6965322416
237.650000095,1.8882411195
238.329999924,1.8228590832
239.360000134,1.7491538462
240.269999981,1.5986488457
242.210000038,1.0051882481
